y_normalized u_velocity
0.000000e+00 0.000000e+00
7.812500e-03 -5.308787e-03
1.562500e-02 -1.061757e-02
2.343750e-02 -1.592636e-02
3.125000e-02 -2.123515e-02
3.906250e-02 -2.654393e-02
4.687500e-02 -3.185272e-02
5.468750e-02 -3.716151e-02
6.250000e-02 -4.192000e-02
7.031250e-02 -4.775663e-02
7.812500e-02 -5.189750e-02
8.593750e-02 -5.603837e-02
9.375000e-02 -6.017925e-02
1.015625e-01 -6.432012e-02
1.093750e-01 -6.844980e-02
1.171875e-01 -7.257942e-02
1.250000e-01 -7.670905e-02
1.328125e-01 -8.083867e-02
1.406250e-01 -8.496829e-02
1.484375e-01 -8.909792e-02
1.562500e-01 -9.322754e-02
1.640625e-01 -9.735716e-02
1.718750e-01 -1.014868e-01
1.796875e-01 -1.054236e-01
1.875000e-01 -1.093599e-01
1.953125e-01 -1.132961e-01
2.031250e-01 -1.172324e-01
2.109375e-01 -1.211686e-01
2.187500e-01 -1.251049e-01
2.265625e-01 -1.290411e-01
2.343750e-01 -1.329773e-01
2.421875e-01 -1.369136e-01
2.500000e-01 -1.408498e-01
2.578125e-01 -1.447861e-01
2.656250e-01 -1.487223e-01
2.734375e-01 -1.526586e-01
2.812500e-01 -1.565948e-01
2.890625e-01 -1.590726e-01
2.968750e-01 -1.615409e-01
3.046875e-01 -1.640093e-01
3.125000e-01 -1.664776e-01
3.203125e-01 -1.689460e-01
3.281250e-01 -1.714143e-01
3.359375e-01 -1.738827e-01
3.437500e-01 -1.763510e-01
3.515625e-01 -1.788194e-01
3.593750e-01 -1.812877e-01
3.671875e-01 -1.837561e-01
3.750000e-01 -1.862244e-01
3.828125e-01 -1.886928e-01
3.906250e-01 -1.911611e-01
3.984375e-01 -1.936294e-01
4.062500e-01 -1.960978e-01
4.140625e-01 -1.985661e-01
4.218750e-01 -2.010345e-01
4.296875e-01 -2.035028e-01
4.375000e-01 -2.059712e-01
4.453125e-01 -2.084395e-01
4.531250e-01 -2.108973e-01
4.609375e-01 -2.100494e-01
4.687500e-01 -2.092015e-01
4.765625e-01 -2.083536e-01
4.843750e-01 -2.075058e-01
4.921875e-01 -2.066579e-01
5.000000e-01 -2.058100e-01
5.078125e-01 -2.011838e-01
5.156250e-01 -1.965577e-01
5.234375e-01 -1.919315e-01
5.312500e-01 -1.873053e-01
5.390625e-01 -1.826791e-01
5.468750e-01 -1.780530e-01
5.546875e-01 -1.734268e-01
5.625000e-01 -1.688006e-01
5.703125e-01 -1.641744e-01
5.781250e-01 -1.595483e-01
5.859375e-01 -1.549221e-01
5.937500e-01 -1.502959e-01
6.015625e-01 -1.456697e-01
6.093750e-01 -1.410436e-01
6.171875e-01 -1.364174e-01
6.250000e-01 -1.248564e-01
6.328125e-01 -1.132843e-01
6.406250e-01 -1.017122e-01
6.484375e-01 -9.014012e-02
6.562500e-01 -7.856802e-02
6.640625e-01 -6.699592e-02
6.718750e-01 -5.542382e-02
6.796875e-01 -4.385172e-02
6.875000e-01 -3.227962e-02
6.953125e-01 -2.070753e-02
7.031250e-01 -9.135427e-03
7.109375e-01 2.436672e-03
7.187500e-01 1.400877e-02
7.265625e-01 2.558087e-02
7.343750e-01 3.715297e-02
7.421875e-01 4.989851e-02
7.500000e-01 6.264782e-02
7.578125e-01 7.539712e-02
7.656250e-01 8.814643e-02
7.734375e-01 1.008957e-01
7.812500e-01 1.136450e-01
7.890625e-01 1.263943e-01
7.968750e-01 1.391437e-01
8.046875e-01 1.518930e-01
8.125000e-01 1.646423e-01
8.203125e-01 1.773916e-01
8.281250e-01 1.901409e-01
8.359375e-01 2.028902e-01
8.437500e-01 2.156395e-01
8.515625e-01 2.283888e-01
8.593750e-01 2.445515e-01
8.671875e-01 2.607307e-01
8.750000e-01 2.769099e-01
8.828125e-01 2.930891e-01
8.906250e-01 3.092683e-01
8.984375e-01 3.254475e-01
9.062500e-01 3.416267e-01
9.140625e-01 3.578058e-01
9.218750e-01 3.739850e-01
9.296875e-01 3.901642e-01
9.375000e-01 4.063434e-01
9.453125e-01 4.225226e-01
9.531250e-01 4.388548e-01
9.609375e-01 5.029035e-01
9.687500e-01 5.744620e-01
9.765625e-01 6.588744e-01
9.843750e-01 7.724893e-01
9.921875e-01 8.862447e-01
1.000000e+00 1.000000e+00
